,Trafic des entrants (*) par station pour l'ensemble de l'année 2011,,,,,,,,,,
,,,,,,,,,,,
,Rang,Réseau,Station,Trafic,Ligne de correspondances RATP,,,,,Ville,Arrondissement pour Paris
,66,Métro,VILLEJUIF-LOUIS ARAGON,5 650 185,7,0,0,0,0,Villejuif,
,67,Métro,SEVRES-BABYLONE,5 618 445,10,12,0,0,0,Paris,07
,68,Métro,BERCY,5 565 249,6,14,0,0,0,Paris,12
,69,Métro,COUR SAINT-EMILION,5 550 822,14,0,0,0,0,Paris,12
,70,Métro,REUILLY-DIDEROT,5 451 933,1,8,0,0,0,Paris,12
,71,Métro,DAUMESNIL,5 435 445,6,8,0,0,0,Paris,12
,72,Métro,LES SABLONS,5 430 088,1,0,0,0,0,Neuilly Sur Seine,
,73,Métro,BASILIQUE DE SAINT-DENIS,5 415 515,13,0,0,0,0,Saint Denis,
,74,Métro,GABRIEL PERI,5 377 830,13,0,0,0,0,Asnières,
,75,Métro,SAINT-DENIS-UNIVERSITE,5 365 746,13,0,0,0,0,Saint Denis,
,76,Métro,ALESIA,5 317 934,4,0,0,0,0,Paris,14
,77,Métro,RICHELIEU-DROUOT,5 297 670,8,9,0,0,0,Paris,09
,78,Métro,VOLTAIRE,5 273 953,9,0,0,0,0,Paris,11
,79,Métro,HOCHE,5 217 935,5,0,0,0,0,Pantin,
,80,Métro,BONNE NOUVELLE,5 196 140,8,9,0,0,0,Paris,10
,81,Métro,PASTEUR,5 089 504,6,12,0,0,0,Paris,09
,82,Métro,PONT DE LEVALLOIS-BECON,5 085 695,3,0,0,0,0,Levallois-Perret,
,83,Métro,PYRAMIDES,5 084 082,7,14,0,0,0,Paris,01
,84,Métro,CROIX DE CHAVAUX,4 978 787,9,0,0,0,0,Montreuil,
,85,Métro,PORTE DE SAINT-CLOUD,4 932 701,9,0,0,0,0,Paris,16
,86,Métro,PERE LACHAISE,4 880 201,2,3,0,0,0,Paris,20
,87,Métro,CRETEIL-PREFECTURE,4 865 573,8,0,0,0,0,Créteil,
