UIC;Nom de la gare;adresse postale;Type;Région;Latitude;Longitude
545202;St-Michel sur Orge;;Gare Ferroviaire de Voyageurs;Ile de France;48,63535;2,30690
547315;St-Michel-Notre-Dame;;Gare Ferroviaire de Voyageurs;Ile de France;48,85312;2,34708
742361;St-Michel-Valloire;Place Alexandre Dumas 73140 Saint-Michel-de-Maurienne;Gare Ferroviaire de Voyageurs;Rhône-Alpes;45,21686;6,47156
146217;St-Nabord;;Gare Ferroviaire de Voyageurs;Lorraine;48,04618;6,58187
481705;St-Nazaire;place Pierre Sémard 44600 St Nazaire;Gare Ferroviaire de Voyageurs;Pays de la Loire;47,28674;-2,21130
586180;St-Nicolas Saint-Romain;;Gare Ferroviaire de Voyageurs;Aquitaine;44,14753;0,76085
382481;St-Nom la Bretêche-Forêt-de-Marly;;Gare Ferroviaire de Voyageurs;Ile de France;48,86663;2,05073
281444;St-Omer (Pas-de-Calais);Place du 8 mai 1945  62500 St Omer;Gare Ferroviaire de Voyageurs;Nord Pas de Calais;50,75382;2,26718
313718;St-Omer en Chaussée;;Gare Ferroviaire de Voyageurs;Picardie;49,53018;1,99692
271247;St-Ouen;;Gare Ferroviaire de Voyageurs;Ile de France;48,90432;2,32018
276105;St-Ouen-l'Aumône;;Gare Ferroviaire de Voyageurs;Ile de France;49,04539;2,10767
381426;St-Ouen-l'Aumône-Église;;Gare Ferroviaire de Voyageurs;Ile de France;49,03969;2,10373
337980;St-Ouen-l'Aumône-Liesse;;Gare Ferroviaire de Voyageurs;Ile de France;49,03384;2,12840
571554;St-Paterne;;Gare Ferroviaire de Voyageurs;Centre;47,60423;0,47794
571810;St-Patrice;;Gare Ferroviaire de Voyageurs;Centre;47,28571;0,30988
723783;St-Paul-de-Varax;;Gare Ferroviaire de Voyageurs;Rhône-Alpes;46,10017;5,12824
671362;St-Pé-de-Bigorre;;Gare Ferroviaire de Voyageurs;Midi-Pyrénées;43,10155;-0,16197
394148;St-Piat;;Gare Ferroviaire de Voyageurs;Centre;48,54244;1,59010
415646;St-Pierre du Vauvray;;Gare Ferroviaire de Voyageurs;Haute-Normandie;49,23374;1,22437
